iter	Passed	Remaining
0	156	156026
1	250	124862
2	335	111358
3	427	106349
4	515	102502
5	603	100032
6	692	98298
7	786	97580
8	875	96431
9	969	96001
10	1060	95331
11	1148	94532
12	1245	94531
13	1354	95429
14	1448	95116
15	1549	95303
16	1639	94794
17	1723	94032
18	1817	93825
19	1917	93963
20	2006	93520
21	2099	93317
22	2188	92979
23	2275	92542
24	2363	92163
25	2443	91544
26	2532	91248
27	2622	91032
28	2707	90641
29	2792	90284
30	2881	90068
31	2965	89709
32	3057	89602
33	3142	89290
34	3246	89505
35	3348	89659
36	3454	89912
37	3592	90943
38	3711	91460
39	3842	92214
40	3934	92035
41	4022	91757
42	4116	91613
43	4215	91598
44	4302	91311
45	4399	91234
46	4486	90970
47	4567	90597
48	4653	90313
49	4735	89974
50	4815	89608
51	4898	89302
52	4988	89134
53	5067	88781
54	5152	88526
55	5234	88242
56	5319	88004
57	5401	87729
58	5494	87628
59	5574	87333
60	5661	87156
61	5756	87085
62	5842	86888
63	5932	86767
64	6024	86663
65	6110	86477
66	6204	86396
67	6285	86149
68	6378	86061
69	6471	85973
70	6562	85866
71	6655	85782
72	6738	85567
73	6822	85368
74	6907	85193
75	6992	85010
76	7074	84797
77	7170	84757
78	7256	84603
79	7344	84464
80	7427	84265
81	7514	84121
82	7606	84035
83	7704	84018
84	7793	83893
85	7886	83816
86	7963	83566
87	8054	83477
88	8143	83354
89	8225	83172
90	8319	83106
91	8421	83113
92	8503	82932
93	8593	82826
94	8683	82721
95	8760	82496
96	8843	82328
97	8919	82099
98	9000	81911
99	9088	81798
100	9181	81726
101	9267	81594
102	9357	81494
103	9432	81260
104	9510	81067
105	9604	81002
106	9693	80895
107	9773	80718
108	9863	80625
109	9953	80536
110	10042	80430
111	10122	80258
112	10206	80114
113	10296	80022
114	10383	79905
115	10473	79815
116	10562	79712
117	10657	79660
118	10743	79540
119	10835	79457
120	10924	79357
121	11021	79317
122	11109	79210
123	11199	79118
124	11290	79035
125	11378	78929
126	11477	78895
127	11565	78787
128	11650	78662
129	11735	78539
130	11812	78359
131	11893	78210
132	11984	78125
133	12073	78024
134	12153	77874
135	12240	77762
136	12333	77692
137	12420	77586
138	12511	77496
139	12591	77348
140	12675	77219
141	12759	77095
142	12846	76987
143	12932	76875
144	13019	76771
145	13102	76639
146	13186	76517
147	13269	76390
148	13360	76306
149	13450	76218
150	13538	76120
151	13630	76042
152	13713	75916
153	13797	75795
154	13891	75729
155	13968	75575
156	14069	75546
157	14161	75465
158	14264	75447
159	14364	75415
160	14445	75280
161	14530	75162
162	14617	75061
163	14703	74949
164	14792	74859
165	14882	74769
166	14969	74668
167	15075	74657
168	15158	74538
169	15240	74411
170	15327	74306
171	15405	74162
172	15485	74027
173	15561	73871
174	15652	73792
175	15730	73646
176	15816	73544
177	15898	73421
178	15995	73364
179	16084	73272
180	16169	73163
181	16247	73024
182	16333	72918
183	16412	72785
184	16496	72674
185	16600	72649
186	16689	72559
187	16770	72434
188	16859	72346
189	16952	72270
190	17032	72144
191	17128	72082
192	17211	71968
193	17293	71846
194	17374	71724
195	17455	71604
196	17533	71470
197	17616	71356
198	17697	71236
199	17780	71123
200	17866	71021
201	17951	70918
202	18030	70789
203	18110	70665
204	18192	70551
205	18269	70416
206	18351	70304
207	18437	70205
208	18524	70108
209	18603	69986
210	18695	69907
211	18783	69819
212	18875	69741
213	18959	69637
214	19052	69563
215	19140	69474
216	19235	69409
217	19330	69343
218	19409	69217
219	19491	69105
220	19567	68974
221	19653	68876
222	19734	68760
223	19823	68674
224	19904	68559
225	19983	68438
226	20068	68337
227	20144	68206
228	20233	68122
229	20312	68001
230	20395	67898
